# M nu z R Re N Naem box snap
5.657233e+14 4.235969e+00 1.00 -2.227120e-01 1.744968e-01 2.10156186e+01 2.70371052e+01 1 2
1.018220e+15 4.935528e+00 1.00 1.917836e-01 6.874004e-01 3.00141061e+00 2.51841906e+00 1 2
7.707480e+12 1.615196e+00 0.85 7.557348e-03 5.409235e-03 2.45690542e+05 2.43847701e+05 1 3
1.251158e+13 1.758801e+00 0.85 3.471165e-03 6.299981e-03 1.42929372e+05 1.42434957e+05 1 3
2.029009e+13 1.921733e+00 0.85 4.765018e-03 7.494684e-03 8.04103114e+04 8.00289719e+04 1 3
3.284791e+13 2.107047e+00 0.85 3.171808e-03 8.549578e-03 4.28089492e+04 4.26735967e+04 1 3
5.322475e+13 2.319896e+00 0.85 4.933405e-03 1.228524e-02 2.13090428e+04 2.12044327e+04 1 3
8.623410e+13 2.565055e+00 0.85 5.035963e-03 1.471800e-02 9.62602022e+03 9.57778684e+03 1 3
1.388803e+14 2.845072e+00 0.85 2.400497e-03 2.074202e-02 3.81046711e+03 3.80134200e+03 1 3
2.219875e+14 3.164711e+00 0.85 2.419981e-02 3.406986e-02 1.29599758e+03 1.26537574e+03 1 3
3.552365e+14 3.537858e+00 0.85 6.122121e-03 6.207220e-02 3.33356127e+02 3.31327699e+02 1 3
5.654645e+14 3.969399e+00 0.85 -1.827866e-01 1.087965e-01 5.10379454e+01 6.24536314e+01 1 3
9.267833e+14 4.511088e+00 0.85 -1.989278e-01 3.767017e-01 6.00303606e+00 7.49375122e+00 1 3
1.405000e+15 5.047795e+00 0.85 1.075502e+00 2.077532e+00 1.00036577e+00 4.81987347e-01 1 3
7.710842e+12 1.509881e+00 0.70 7.881305e-03 5.331471e-03 2.63841860e+05 2.61778702e+05 1 4
1.252088e+13 1.644218e+00 0.70 5.729089e-03 5.975629e-03 1.57307346e+05 1.56411251e+05 1 4
2.031371e+13 1.796687e+00 0.70 3.855841e-03 7.049205e-03 9.07927107e+04 9.04439731e+04 1 4
3.293264e+13 1.970504e+00 0.70 1.022460e-02 8.549899e-03 5.05390951e+04 5.00275831e+04 1 4
5.335312e+13 2.169533e+00 0.70 -5.143052e-03 1.067045e-02 2.59204748e+04 2.60544743e+04 1 4
8.639982e+13 2.398605e+00 0.70 1.004743e-02 1.365411e-02 1.26286288e+04 1.25030057e+04 1 4
1.394878e+14 2.661945e+00 0.70 9.847116e-03 1.865729e-02 5.42000235e+03 5.36715139e+03 1 4
2.244337e+14 2.965672e+00 0.70 1.537451e-02 2.845771e-02 2.00907030e+03 1.97864952e+03 1 4
3.617223e+14 3.321469e+00 0.70 2.446823e-02 4.647272e-02 6.06638991e+02 5.92150128e+02 1 4
5.785659e+14 3.731887e+00 0.70 -1.200235e-01 8.055423e-02 1.17085509e+02 1.33055263e+02 1 4
8.858060e+14 4.166519e+00 0.70 -2.547469e-01 2.025811e-01 1.50078628e+01 2.01379402e+01 1 4
1.371400e+15 4.686985e+00 0.70 1.342918e-01 8.020639e-01 2.00074547e+00 1.76387186e+00 1 4
7.718134e+12 1.408197e+00 0.55 7.837973e-03 5.176010e-03 2.79933050e+05 2.77756006e+05 1 5
1.252668e+13 1.533365e+00 0.55 6.477162e-03 5.832642e-03 1.70424267e+05 1.69327505e+05 1 5
2.033111e+13 1.675683e+00 0.55 4.990614e-03 6.706375e-03 1.00948618e+05 1.00447324e+05 1 5
3.297697e+13 1.837982e+00 0.55 1.427388e-02 8.041332e-03 5.82250008e+04 5.74056004e+04 1 5
5.336711e+13 2.023202e+00 0.55 4.465931e-03 1.002189e-02 3.13177030e+04 3.11784621e+04 1 5
8.633236e+13 2.236332e+00 0.55 1.421738e-03 1.263876e-02 1.58179175e+04 1.57954605e+04 1 5
1.398070e+14 2.483530e+00 0.55 2.024877e-02 1.661484e-02 7.42240852e+03 7.27509677e+03 1 5
2.260154e+14 2.770009e+00 0.55 -1.933590e-02 2.347306e-02 2.88338268e+03 2.94023476e+03 1 5
3.619635e+14 3.097777e+00 0.55 3.360798e-02 3.716461e-02 1.02608023e+03 9.92717015e+02 1 5
5.877606e+14 3.493939e+00 0.55 6.402941e-03 6.749615e-02 2.63189857e+02 2.61515389e+02 1 5
9.218875e+14 3.926503e+00 0.55 -9.911172e-02 1.332969e-01 4.40223566e+01 4.88655007e+01 1 5
1.483420e+15 4.466323e+00 0.55 -1.174549e-01 3.935228e-01 5.00175295e+00 5.66741931e+00 1 5
7.721573e+12 1.310727e+00 0.40 5.273958e-03 5.062276e-03 2.93154855e+05 2.91616880e+05 1 6
1.253875e+13 1.427368e+00 0.40 9.587781e-03 5.632782e-03 1.82678026e+05 1.80943183e+05 1 6
2.035744e+13 1.559956e+00 0.40 4.488767e-03 6.620953e-03 1.10269283e+05 1.09776522e+05 1 6
3.299350e+13 1.710798e+00 0.40 1.105004e-02 7.490254e-03 6.52811122e+04 6.45676370e+04 1 6
5.343554e+13 1.883509e+00 0.40 1.063684e-02 9.639826e-03 3.67781275e+04 3.63910418e+04 1 6
8.674379e+13 2.083486e+00 0.40 2.831452e-03 1.196299e-02 1.93962124e+04 1.93414480e+04 1 6
1.403694e+14 2.313513e+00 0.40 1.003885e-02 1.497712e-02 9.57710340e+03 9.48191590e+03 1 6
2.264826e+14 2.579315e+00 0.40 4.102602e-03 2.101378e-02 4.17533572e+03 4.15827596e+03 1 6
3.642354e+14 2.887517e+00 0.40 1.508500e-03 3.103976e-02 1.56564027e+03 1.56328205e+03 1 6
5.852112e+14 3.248261e+00 0.40 2.237589e-02 5.014114e-02 4.85351316e+02 4.74728836e+02 1 6
9.492887e+14 3.682934e+00 0.40 -8.987751e-04 9.385496e-02 1.07053139e+02 1.07149442e+02 1 6
1.579585e+15 4.229999e+00 0.40 -1.868705e-01 2.230758e-01 1.30043398e+01 1.59929499e+01 1 6
2.766500e+15 4.965227e+00 0.40 -2.528197e-01 7.479110e-01 1.00021561e+00 1.33865368e+00 1 6
7.724940e+12 1.218581e+00 0.25 3.139869e-03 4.908563e-03 3.04390631e+05 3.03437876e+05 1 7
1.255194e+13 1.327173e+00 0.25 6.174224e-03 5.594705e-03 1.92370319e+05 1.91189870e+05 1 7
2.037393e+13 1.450400e+00 0.25 3.393203e-03 6.256602e-03 1.18681533e+05 1.18280184e+05 1 7
3.305693e+13 1.591004e+00 0.25 1.229303e-02 7.530965e-03 7.22076281e+04 7.13307569e+04 1 7
5.361907e+13 1.752188e+00 0.25 1.290526e-02 8.980762e-03 4.20552994e+04 4.15194796e+04 1 7
8.688625e+13 1.937545e+00 0.25 -1.751147e-03 1.072358e-02 2.29685693e+04 2.30088612e+04 1 7
1.406036e+14 2.151506e+00 0.25 6.512337e-03 1.391148e-02 1.19893875e+04 1.19118138e+04 1 7
2.275809e+14 2.400503e+00 0.25 9.320592e-03 1.841881e-02 5.66356240e+03 5.61126212e+03 1 7
3.654399e+14 2.686471e+00 0.25 7.814479e-03 2.652291e-02 2.33644141e+03 2.31832491e+03 1 7
5.937479e+14 3.030803e+00 0.25 3.341057e-03 4.036895e-02 8.00572975e+02 7.97907122e+02 1 7
9.343027e+14 3.409335e+00 0.25 4.846867e-02 7.142392e-02 2.23112130e+02 2.12798090e+02 1 7
1.544798e+15 3.908039e+00 0.25 3.269560e-02 1.590467e-01 4.10139267e+01 3.97154077e+01 1 7
2.354000e+15 4.403723e+00 0.25 -1.091716e-01 4.445391e-01 4.00097821e+00 4.49130085e+00 1 7
3.692300e+15 5.029770e+00 0.25 2.990267e+00 3.994169e+00 1.00017215e+00 2.50652948e-01 1 7
7.729362e+12 1.132895e+00 0.10 7.320665e-04 4.788211e-03 3.13810988e+05 3.13581425e+05 1 8
1.256012e+13 1.233874e+00 0.10 -8.117706e-04 5.407112e-03 2.00057623e+05 2.00220156e+05 1 8
2.040293e+13 1.348640e+00 0.10 4.001517e-03 6.035092e-03 1.26472427e+05 1.25968363e+05 1 8
3.308104e+13 1.479196e+00 0.10 6.869958e-03 7.246184e-03 7.81517144e+04 7.76184787e+04 1 8
