# M nu z R Re N Naem box snap
8.633236e+13 2.236332e+00 0.55 -6.387225e-04 1.261276e-02 1.58179175e+04 1.58280272e+04 1 5
1.398070e+14 2.483530e+00 0.55 1.878602e-02 1.659102e-02 7.42240852e+03 7.28554217e+03 1 5
2.260154e+14 2.770009e+00 0.55 -2.009081e-02 2.345499e-02 2.88338268e+03 2.94249989e+03 1 5
3.619635e+14 3.097777e+00 0.55 3.347580e-02 3.715986e-02 1.02608023e+03 9.92843988e+02 1 5
5.877606e+14 3.493939e+00 0.55 6.803466e-03 6.752301e-02 2.63189857e+02 2.61411353e+02 1 5
9.218875e+14 3.926503e+00 0.55 -9.850608e-02 1.333865e-01 4.40223566e+01 4.88326717e+01 1 5
1.483420e+15 4.466323e+00 0.55 -1.170088e-01 3.937218e-01 5.00175295e+00 5.66455605e+00 1 5
7.721573e+12 1.310727e+00 0.40 2.307981e-03 5.047340e-03 2.93154855e+05 2.92479817e+05 1 6
1.253875e+13 1.427368e+00 0.40 6.498902e-03 5.615548e-03 1.82678026e+05 1.81498485e+05 1 6
2.035744e+13 1.559956e+00 0.40 1.402599e-03 6.600611e-03 1.10269283e+05 1.10114836e+05 1 6
3.299350e+13 1.710798e+00 0.40 8.053124e-03 7.468052e-03 6.52811122e+04 6.47595951e+04 1 6
5.343554e+13 1.883509e+00 0.40 7.900643e-03 9.613727e-03 3.67781275e+04 3.64898343e+04 1 6
8.674379e+13 2.083486e+00 0.40 5.528954e-04 1.193581e-02 1.93962124e+04 1.93854942e+04 1 6
1.403694e+14 2.313513e+00 0.40 8.396179e-03 1.495276e-02 9.57710340e+03 9.49736185e+03 1 6
2.264826e+14 2.579315e+00 0.40 3.363199e-03 2.099830e-02 4.17533572e+03 4.16134030e+03 1 6
3.642354e+14 2.887517e+00 0.40 1.942139e-03 3.105320e-02 1.56564027e+03 1.56260547e+03 1 6
5.852112e+14 3.248261e+00 0.40 2.433780e-02 5.023736e-02 4.85351316e+02 4.73819592e+02 1 6
9.492887e+14 3.682934e+00 0.40 2.860126e-03 9.420807e-02 1.07053139e+02 1.06747827e+02 1 6
1.579585e+15 4.229999e+00 0.40 -1.819828e-01 2.244167e-01 1.30043398e+01 1.58973917e+01 1 6
2.766500e+15 4.965227e+00 0.40 -2.462977e-01 7.544394e-01 1.00021561e+00 1.32706989e+00 1 6
7.724940e+12 1.218581e+00 0.25 1.440667e-03 4.900248e-03 3.04390631e+05 3.03952736e+05 1 7
1.255194e+13 1.327173e+00 0.25 4.072048e-03 5.583016e-03 1.92370319e+05 1.91590155e+05 1 7
2.037393e+13 1.450400e+00 0.25 9.752206e-04 6.241525e-03 1.18681533e+05 1.18565905e+05 1 7
3.305693e+13 1.591004e+00 0.25 9.643582e-03 7.511254e-03 7.22076281e+04 7.15179390e+04 1 7
5.361907e+13 1.752188e+00 0.25 1.020812e-02 8.956848e-03 4.20552994e+04 4.16303321e+04 1 7
8.688625e+13 1.937545e+00 0.25 -4.230935e-03 1.069694e-02 2.29685693e+04 2.30661607e+04 1 7
1.406036e+14 2.151506e+00 0.25 4.496823e-03 1.388363e-02 1.19893875e+04 1.19357147e+04 1 7
2.275809e+14 2.400503e+00 0.25 8.192583e-03 1.839823e-02 5.66356240e+03 5.61754024e+03 1 7
3.654399e+14 2.686471e+00 0.25 8.115405e-03 2.653083e-02 2.33644141e+03 2.31763288e+03 1 7
5.937479e+14 3.030803e+00 0.25 5.760603e-03 4.046630e-02 8.00572975e+02 7.95987606e+02 1 7
9.343027e+14 3.409335e+00 0.25 5.416985e-02 7.181230e-02 2.23112130e+02 2.11647231e+02 1 7
1.544798e+15 3.908039e+00 0.25 4.267731e-02 1.605840e-01 4.10139267e+01 3.93352060e+01 1 7
2.354000e+15 4.403723e+00 0.25 -9.537104e-02 4.514259e-01 4.00097821e+00 4.42278369e+00 1 7
3.692300e+15 5.029770e+00 0.25 3.083990e+00 4.087984e+00 1.00017215e+00 2.44900712e-01 1 7
7.729362e+12 1.132895e+00 0.10 8.052487e-04 4.788562e-03 3.13810988e+05 3.13558495e+05 1 8
1.256012e+13 1.233874e+00 0.10 -1.450170e-03 5.403657e-03 2.00057623e+05 2.00348162e+05 1 8
2.040293e+13 1.348640e+00 0.10 2.678853e-03 6.027142e-03 1.26472427e+05 1.26134531e+05 1 8
3.308104e+13 1.479196e+00 0.10 4.941606e-03 7.232306e-03 7.81517144e+04 7.77674184e+04 1 8
5.366702e+13 1.629118e+00 0.10 7.033047e-03 8.595026e-03 4.68856511e+04 4.65582050e+04 1 8
8.702671e+13 1.801747e+00 0.10 2.249854e-03 1.008074e-02 2.68107818e+04 2.67505969e+04 1 8
1.408794e+14 2.000895e+00 0.10 -5.049073e-03 1.298242e-02 1.44387298e+04 1.45120020e+04 1 8
2.279961e+14 2.232435e+00 0.10 4.672330e-03 1.594271e-02 7.30002028e+03 7.26607080e+03 1 8
3.689254e+14 2.503091e+00 0.10 1.350536e-02 2.286495e-02 3.29641930e+03 3.25249320e+03 1 8
5.973745e+14 2.821776e+00 0.10 -9.433398e-03 3.361892e-02 1.23287818e+03 1.24461917e+03 1 8
9.631866e+14 3.195018e+00 0.10 9.144203e-02 5.583950e-02 4.17204759e+02 3.82250954e+02 1 8
1.525750e+15 3.620385e+00 0.10 -1.178383e-01 1.107726e-01 7.60260663e+01 8.61815496e+01 1 8
2.504550e+15 4.167921e+00 0.10 1.139970e-01 2.942041e-01 1.40032621e+01 1.25702870e+01 1 8
4.206400e+15 4.864264e+00 0.10 9.541926e-03 1.010529e+00 1.00015551e+00 9.90702299e-01 1 8
7.731113e+12 1.079897e+00 0.00 -1.562021e-03 4.715687e-03 3.18738261e+05 3.19236915e+05 1 9
1.256316e+13 1.176158e+00 0.00 -4.924460e-03 5.441684e-03 2.04616633e+05 2.05629246e+05 1 9
2.041317e+13 1.285619e+00 0.00 -4.576911e-03 5.808460e-03 1.30181213e+05 1.30779780e+05 1 9
3.310247e+13 1.410121e+00 0.00 3.454124e-03 6.993051e-03 8.19582101e+04 8.16760907e+04 1 9
5.374812e+13 1.553324e+00 0.00 2.069569e-03 8.230338e-03 4.98130967e+04 4.97102180e+04 1 9
8.705171e+13 1.717498e+00 0.00 -6.959496e-03 9.715979e-03 2.89716702e+04 2.91747115e+04 1 9
1.410888e+14 1.907848e+00 0.00 1.338639e-03 1.228278e-02 1.62917595e+04 1.62699799e+04 1 9
2.283396e+14 2.128663e+00 0.00 -7.857464e-03 1.526753e-02 8.37963554e+03 8.44599968e+03 1 9
3.701433e+14 2.387815e+00 0.00 1.010093e-03 2.054006e-02 3.96910644e+03 3.96510132e+03 1 9
5.973768e+14 2.689670e+00 0.00 -9.882634e-05 3.042104e-02 1.61615118e+03 1.61631092e+03 1 9
9.633875e+14 3.045604e+00 0.00 3.362358e-02 4.530561e-02 5.58273946e+02 5.40113398e+02 1 9
1.514123e+15 3.443570e+00 0.00 4.157823e-02 9.019654e-02 1.42048994e+02 1.36378612e+02 1 9
2.428236e+15 3.937251e+00 0.00 -5.055895e-02 1.984124e-01 2.20052515e+01 2.31770592e+01 1 9
3.664550e+15 4.446612e+00 0.00 7.797787e-01 8.881411e-01 4.00069266e+00 2.24785962e+00 1 9
9.195708e+12 3.753400e+00 3.00 2.468654e-02 2.003988e-02 4.24501614e+03 4.14274609e+03 2 0
1.462522e+13 4.080615e+00 3.00 5.569765e-02 3.707866e-02 1.03273666e+03 9.78250409e+02 2 0
2.376291e+13 4.469411e+00 3.00 -2.059770e-03 8.413398e-02 1.78864188e+02 1.79233368e+02 2 0
3.761067e+13 4.888601e+00 3.00 -2.355273e-01 1.773386e-01 1.81321286e+01 2.37184783e+01 2 0
5.786650e+13 5.335304e+00 3.00 -2.563662e-02 6.889776e-01 2.01046792e+00 2.06336565e+00 2 0
9.366261e+12 2.846861e+00 2.00 3.971710e-02 9.005964e-03 3.86412517e+04 3.71651594e+04 2 1
1.498656e+13 3.098880e+00 2.00 3.408383e-02 1.251884e-02 1.42132811e+04 1.37448055e+04 2 1
2.389302e+13 3.382476e+00 2.00 4.653319e-02 1.943104e-02 4.58056238e+03 4.37689167e+03 2 1
3.832960e+13 3.709830e+00 2.00 2.104995e-03 3.477746e-02 1.15126570e+03 1.14884738e+03 2 1
6.043021e+13 4.069963e+00 2.00 6.620466e-03 7.119062e-02 2.36189144e+02 2.34635746e+02 2 1
9.563805e+13 4.485726e+00 2.00 1.040190e-01 1.912854e-01 3.81341713e+01 3.45412261e+01 2 1
1.538933e+14 4.982723e+00 2.00 8.174406e-01 7.390502e-01 6.01460244e+00 3.30938050e+00 2 1
9.476023e+12 1.959282e+00 1.00 -9.974313e-04 5.889837e-03 1.58531378e+05 1.58689660e+05 2 2
1.520507e+13 2.134014e+00 1.00 -7.588045e-03 6.963268e-03 8.07052438e+04 8.13223213e+04 2 2
